Zeitstempel;Verbrauch Maschine 1 (kWh);Verbrauch Maschine 2 (kWh);Verbrauch Maschine 3 (kWh)
Do., 17.Apr. 2014 00:15;0,15;0,47;2,53
Do., 17.Apr. 2014 00:30;0,2;0,46;2,54
Do., 17.Apr. 2014 00:45;0,18;0,45;2,54
Do., 17.Apr. 2014 01:00;0,19;0,48;2,54
Do., 17.Apr. 2014 01:15;0,15;0,49;2,57
Do., 17.Apr. 2014 01:30;0,16;0,47;2,54
Do., 17.Apr. 2014 01:45;0,16;0,49;2,54
Do., 17.Apr. 2014 02:00;0,2;0,46;2,54
Do., 17.Apr. 2014 02:15;0,19;0,48;2,53
Do., 17.Apr. 2014 02:30;0,16;0,46;2,54
Do., 17.Apr. 2014 02:45;0,15;0,44;2,57
Do., 17.Apr. 2014 03:00;0,17;0,43;2,55
Do., 17.Apr. 2014 03:15;0,18;0,5;2,53
Do., 17.Apr. 2014 03:30;0,15;0,5;2,54
Do., 17.Apr. 2014 03:45;0,2;0,48;2,54
Do., 17.Apr. 2014 04:00;0,15;0,46;2,56
Do., 17.Apr. 2014 04:15;0,16;0,52;2,53
Do., 17.Apr. 2014 04:30;0,21;0,47;2,53
Do., 17.Apr. 2014 04:45;0,16;0,47;2,54
Do., 17.Apr. 2014 05:00;0,2;0,49;2,55
Do., 17.Apr. 2014 05:15;0,18;0,48;2,54
Do., 17.Apr. 2014 05:30;0,15;0,48;2,53
Do., 17.Apr. 2014 05:45;0,18;0,45;2,53
Do., 17.Apr. 2014 06:00;0,16;0,46;2,55
Do., 17.Apr. 2014 06:15;0,22;0,51;2,54
Do., 17.Apr. 2014 06:30;0,25;0,49;2,56
Do., 17.Apr. 2014 06:45;0,22;0,5;2,54
Do., 17.Apr. 2014 07:00;0,24;0,57;2,57
Do., 17.Apr. 2014 07:15;0,23;0,54;2,66
Do., 17.Apr. 2014 07:30;0,3;0,66;2,72
Do., 17.Apr. 2014 07:45;0,66;0,87;2,76
Do., 17.Apr. 2014 08:00;0,94;0,93;2,78
Do., 17.Apr. 2014 08:15;1,01;1,04;2,75
Do., 17.Apr. 2014 08:30;0,81;1,17;2,81
Do., 17.Apr. 2014 08:45;0,93;1,54;2,82
Do., 17.Apr. 2014 09:00;0,95;1,53;2,8
Do., 17.Apr. 2014 09:15;0,99;1,67;2,81
Do., 17.Apr. 2014 09:30;1,32;1,72;2,86
Do., 17.Apr. 2014 09:45;1,21;1,7;2,87
Do., 17.Apr. 2014 10:00;1,1;1,82;2,86
Do., 17.Apr. 2014 10:15;1,17;1,71;2,82
Do., 17.Apr. 2014 10:30;1,12;1,74;2,87
Do., 17.Apr. 2014 10:45;1,14;1,58;2,9
Do., 17.Apr. 2014 11:00;1,13;1,84;2,91
Do., 17.Apr. 2014 11:15;1,15;1,51;2,89
Do., 17.Apr. 2014 11:30;1,06;1,56;2,89
Do., 17.Apr. 2014 11:45;1,15;1,52;2,89
Do., 17.Apr. 2014 12:00;1,02;1,66;2,89
Do., 17.Apr. 2014 12:15;0,93;1,39;2,86
Do., 17.Apr. 2014 12:16;0,93;1,39;2,86
Do., 17.Apr. 2014 12:17;0,93;1,39;2,86
Do., 17.Apr. 2014 12:18;0,93;1,39;2,86
Do., 17.Apr. 2014 12:19;0,93;1,39;2,86
Do., 17.Apr. 2014 12:20;0,93;1,39;2,86
Do., 17.Apr. 2014 12:21;0,93;1,39;2,86
Do., 17.Apr. 2014 12:22;0,93;1,39;2,86
Do., 17.Apr. 2014 12:23;0,93;1,39;2,86
